id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,test_suite
20250113194453,0,1,0,0,0,datasets/fb-1,,alex,2530096,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113194644,1,0,0,0,0,datasets/fb-1,,alex,1791413,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113194913,0,1,0,0,0,datasets/fb-1,,alex,891632,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113195104,1,0,0,0,0,datasets/fb-1,,alex,1801587,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113195322,0,1,0,0,0,datasets/fb-1,,alex,3838222,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113195509,1,0,0,0,0,datasets/fb-1,,alex,1864228,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113195756,0,1,0,0,0,datasets/fb-1,,alex,1061235,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113195943,1,0,0,0,0,datasets/fb-1,,alex,1862646,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113200940,0,1,0,0,0,datasets/fb-1,,alex,5519349,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113201124,1,0,0,0,0,datasets/fb-1,,alex,1925796,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113201314,0,1,0,0,0,datasets/fb-1,,alex,40151,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113201454,1,0,0,0,0,datasets/fb-1,,alex,2008104,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113201633,0,1,0,0,0,datasets/fb-1,,alex,5655048,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113201816,1,0,0,0,0,datasets/fb-1,,alex,1926560,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113201954,0,1,0,0,0,datasets/fb-1,,alex,152385,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113202134,1,0,0,0,0,datasets/fb-1,,alex,2011302,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113202304,0,1,0,0,0,datasets/fb-1,,alex,5922805,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113202448,1,0,0,0,0,datasets/fb-1,,alex,1926237,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113202614,0,1,0,0,0,datasets/fb-1,,alex,2101929,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113202758,1,0,0,0,0,datasets/fb-1,,alex,1911739,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113202921,0,1,0,0,0,datasets/fb-1,,alex,5976188,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113203105,1,0,0,0,0,datasets/fb-1,,alex,1923021,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113203231,0,1,0,0,0,datasets/fb-1,,alex,1807266,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113203414,1,0,0,0,0,datasets/fb-1,,alex,1941781,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113203532,0,1,0,0,0,datasets/fb-1,,alex,5982519,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113203716,1,0,0,0,0,datasets/fb-1,,alex,1927886,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113203845,0,1,0,0,0,datasets/fb-1,,alex,1597338,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113204027,1,0,0,0,0,datasets/fb-1,,alex,1951551,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113204143,0,1,0,0,0,datasets/fb-1,,alex,5978735,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113204327,1,0,0,0,0,datasets/fb-1,,alex,1933585,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113204524,0,1,0,0,0,datasets/fb-1,,alex,1041732,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113204704,1,0,0,0,0,datasets/fb-1,,alex,1986053,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113210320,0,1,0,0,0,datasets/osm,,alex,884137,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113210432,1,0,0,0,0,datasets/osm,,alex,2781787,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113210639,0,1,0,0,0,datasets/osm,,alex,629958,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113210750,1,0,0,0,0,datasets/osm,,alex,2820867,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113210957,0,1,0,0,0,datasets/osm,,alex,1542612,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113211108,1,0,0,0,0,datasets/osm,,alex,2825082,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113211315,0,1,0,0,0,datasets/osm,,alex,881245,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113211426,1,0,0,0,0,datasets/osm,,alex,2820464,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113211632,0,1,0,0,0,datasets/osm,,alex,2911950,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113211742,1,0,0,0,0,datasets/osm,,alex,2829776,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113211950,0,1,0,0,0,datasets/osm,,alex,1152543,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113212101,1,0,0,0,0,datasets/osm,,alex,2827418,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113212305,0,1,0,0,0,datasets/osm,,alex,4213121,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113212416,1,0,0,0,0,datasets/osm,,alex,2812600,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113212625,0,1,0,0,0,datasets/osm,,alex,1263143,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113212736,1,0,0,0,0,datasets/osm,,alex,2815193,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113212938,0,1,0,0,0,datasets/osm,,alex,5052690,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113213050,1,0,0,0,0,datasets/osm,,alex,2777482,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113213301,0,1,0,0,0,datasets/osm,,alex,1308469,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
